onehot | prediction
[0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.], 77.17488
[1. 1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 1.], 88.7197
[0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0.], 22.825605
[1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 0.], 89.42422
[0. 1. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0.], 73.53129
[0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0.], 91.8872
[0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0.], 31.347532
[1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0.], 72.71436
[0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0.], 22.977806
[1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.], 31.44418
[1. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1.], 29.856424
[0. 1. 1. 1. 0. 0. 1. 1. 0. 1. 0. 0.], 84.58959
[0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1.], 11.012575
[1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.], 87.05113
[1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0.], 27.054876
[0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1.], 84.910545
[1. 0. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0.], 86.17013
[0. 1. 1. 1. 1. 0. 0. 1. 0. 1. 0. 0.], 69.24654
[0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0.], 26.924536
[1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1.], 14.473874
[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0.], 30.431395
[1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0.], 28.98195
[0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0.], 89.18315
[0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1.], 87.891594
[1. 1. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0.], 32.771797
[0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1.], 86.44857
[1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0.], 88.91795
[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1.], 86.579765
[1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 0.], 28.980783
[1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 1.], 83.05598
[1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 1.], 88.3915
[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.], 29.007383
[1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0.], 76.98339
[0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1.], 73.584404
[0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0.], 87.90135
[0. 0. 0. 1. 1. 1. 0. 1. 1. 1. 0. 1.], 71.48832
[0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1.], 85.00691
[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1.], 36.588303
[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 0.], 30.431395
[1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 0. 0.], 89.48374
[1. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1.], 29.499474
[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1.], 82.24378
[1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0.], 88.67112
[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1.], 54.879524
[0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1.], 87.84704
[0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1.], 42.60369
[0. 1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1.], 33.80489
[0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0.], 29.636415
[0. 1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0.], 88.94585
[1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0.], 60.43827
[1. 1. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1.], 86.59732
[1. 1. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0.], 76.286934
[1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0.], 29.022997
[1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 1.], 80.75293
